"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2993","User logout test @master @regression","chromium","2026-01-09","passed","2026-01-09","","Logout.spec.ts","",""
"","34825","User registration test","webkit","2026-01-07","broken","2026-01-07","","AccountRegistration.spec.ts","",""
"","12492","Login Test with JSON Data: Valid login @datadriven","chromium","2026-01-09","passed","2026-01-09","","LoginDataDriven.spec.ts","",""
"","7834","User login test","chromium","2026-01-08","passed","2026-01-08","","Login.spec.ts","",""
"","12800","Add product to cart test @master @regression","chromium","2026-01-09","passed","2026-01-09","","AddToCart.spec.ts","",""
"","1917","Product search test @master @regression","chromium","2026-01-09","passed","2026-01-09","","SearchProduct.spec.ts","",""
"","51870","get started link","chromium","2026-01-10","broken","2026-01-10","","EndToEndTest.spec.ts","",""
"","22728","User registration test @master @sanity @regression","chromium","2026-01-11","passed","2026-01-11","","AccountRegistration.spec.ts","",""
"","3436","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-01-09","passed","2026-01-09","","LoginDataDriven.spec.ts","",""
"","49764","User registration test","firefox","2026-01-07","broken","2026-01-07","","AccountRegistration.spec.ts","",""
"","3956","Login Test with CSV Data: Valid login @datadriven","chromium","2026-01-09","passed","2026-01-09","","LoginDataDriven.spec.ts","",""
"","15887","execute end-to-end test flow @end-to-end","chromium","2026-01-09","passed","2026-01-09","","EndToEndTest.spec.ts","",""
"","21953","User registration test","chromium","2026-01-08","passed","2026-01-08","","AccountRegistration.spec.ts","",""
"","12576","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-01-09","passed","2026-01-09","","LoginDataDriven.spec.ts","",""
"","20703","User login test @master @sanity @regression","chromium","2026-01-11","passed","2026-01-11","","Login.spec.ts","",""
